noESCO,ESCOskill,noESCO_percentage,ESCOskill_percentage,cooccurrence_count
segmentation-fault,c++,0.0,1.77,1
segmentation-fault,arrays,0.0,0.5,1
segmentation-fault,c,0.0,0.65,1
segmentation-fault,string,0.0,0.39,1
segmentation-fault,linux,0.0,0.58,1
segmentation-fault,struct,0.0,0.02,1
segmentation-fault,sockets,0.0,0.06,1
segmentation-fault,function,0.0,0.04,1
segmentation-fault,class,0.0,0.07,1
segmentation-fault,vector,0.0,0.03,1
segmentation-fault,templates,0.0,0.08,1
segmentation-fault,file,0.0,0.16,1
segmentation-fault,char,0.0,0.01,1
segmentation-fault,stl,0.0,0.04,1
segmentation-fault,windows,0.0,0.33,1
malloc,python,0.0,4.26,1
malloc,c++,0.0,1.77,1
malloc,arrays,0.0,0.5,1
malloc,c,0.0,0.65,1
malloc,string,0.0,0.39,1
malloc,linux,0.0,0.58,1
malloc,struct,0.0,0.02,1
malloc,sockets,0.0,0.06,1
malloc,function,0.0,0.04,1
malloc,class,0.0,0.07,1
malloc,vector,0.0,0.03,1
malloc,templates,0.0,0.08,1
malloc,file,0.0,0.16,1
malloc,char,0.0,0.01,1
malloc,stl,0.0,0.04,1
malloc,windows,0.0,0.33,1
visual-c++,python,0.03,4.26,1
visual-c++,c++,0.03,1.77,12
visual-c++,arrays,0.03,0.5,1
visual-c++,c,0.03,0.65,1
visual-c++,string,0.03,0.39,1
visual-c++,linux,0.03,0.58,1
visual-c++,struct,0.03,0.02,1
visual-c++,sockets,0.03,0.06,1
visual-c++,function,0.03,0.04,1
visual-c++,class,0.03,0.07,1
visual-c++,vector,0.03,0.03,1
visual-c++,templates,0.03,0.08,1
visual-c++,file,0.03,0.16,1
visual-c++,char,0.03,0.01,1
visual-c++,stl,0.03,0.04,1
visual-c++,windows,0.03,0.33,1
visual-c++,javascript,0.03,5.15,1
scanf,python,0.0,4.26,1
scanf,c++,0.0,1.77,1
scanf,arrays,0.0,0.5,1
scanf,c,0.0,0.65,1
scanf,string,0.0,0.39,1
scanf,linux,0.0,0.58,1
scanf,struct,0.0,0.02,1
scanf,sockets,0.0,0.06,1
scanf,function,0.0,0.04,1
scanf,class,0.0,0.07,1
scanf,vector,0.0,0.03,1
scanf,templates,0.0,0.08,1
scanf,file,0.0,0.16,1
scanf,char,0.0,0.01,1
scanf,stl,0.0,0.04,1
scanf,windows,0.0,0.33,1
makefile,python,0.05,4.26,9
makefile,c++,0.05,1.77,2
makefile,arrays,0.05,0.5,1
makefile,c,0.05,0.65,5
makefile,string,0.05,0.39,1
makefile,linux,0.05,0.58,2
makefile,struct,0.05,0.02,1
makefile,sockets,0.05,0.06,1
makefile,function,0.05,0.04,1
makefile,class,0.05,0.07,1
makefile,vector,0.05,0.03,1
makefile,templates,0.05,0.08,1
makefile,file,0.05,0.16,1
makefile,char,0.05,0.01,1
makefile,stl,0.05,0.04,1
makefile,windows,0.05,0.33,2
makefile,java,0.05,4.62,1
makefile,shell,0.05,0.18,1
makefile,sed,0.05,0.01,1
makefile,ruby,0.05,0.42,1
multidimensional-array,python,0.02,4.26,4
multidimensional-array,c++,0.02,1.77,1
multidimensional-array,arrays,0.02,0.5,2
multidimensional-array,c,0.02,0.65,1
multidimensional-array,string,0.02,0.39,2
multidimensional-array,linux,0.02,0.58,1
multidimensional-array,struct,0.02,0.02,1
multidimensional-array,sockets,0.02,0.06,1
multidimensional-array,function,0.02,0.04,2
multidimensional-array,class,0.02,0.07,2
multidimensional-array,vector,0.02,0.03,1
multidimensional-array,templates,0.02,0.08,1
multidimensional-array,file,0.02,0.16,1
multidimensional-array,char,0.02,0.01,1
multidimensional-array,stl,0.02,0.04,1
multidimensional-array,windows,0.02,0.33,1
multidimensional-array,php,0.02,3.05,3
multidimensional-array,javascript,0.02,5.15,4
multidimensional-array,sql,0.02,0.59,1
multidimensional-array,mysql,0.02,0.79,1
multidimensional-array,css,0.02,1.46,1
multidimensional-array,oop,0.02,0.09,1
multidimensional-array,security,0.02,0.06,1
multidimensional-array,date,0.02,0.12,1
multidimensional-array,max,0.02,0.02,2
multidimensional-array,reduce,0.02,0.01,2
boost,python,0.04,4.26,2
boost,c++,0.04,1.77,18
boost,arrays,0.04,0.5,1
boost,c,0.04,0.65,2
boost,string,0.04,0.39,1
boost,linux,0.04,0.58,3
boost,struct,0.04,0.02,1
boost,sockets,0.04,0.06,1
boost,function,0.04,0.04,1
boost,class,0.04,0.07,1
boost,vector,0.04,0.03,1
boost,templates,0.04,0.08,1
boost,file,0.04,0.16,1
boost,char,0.04,0.01,1
boost,stl,0.04,0.04,1
boost,windows,0.04,0.33,1
boost,date,0.04,0.12,4
boost,perl,0.04,0.07,1
printf,python,0.0,4.26,1
printf,c++,0.0,1.77,1
printf,arrays,0.0,0.5,1
printf,c,0.0,0.65,2
printf,string,0.0,0.39,1
printf,linux,0.0,0.58,1
printf,struct,0.0,0.02,1
printf,sockets,0.0,0.06,1
printf,function,0.0,0.04,1
printf,class,0.0,0.07,1
printf,vector,0.0,0.03,1
printf,templates,0.0,0.08,1
printf,file,0.0,0.16,1
printf,char,0.0,0.01,1
printf,stl,0.0,0.04,1
printf,windows,0.0,0.33,1
printf,java,0.0,4.62,1
qt,python,0.2,4.26,11
qt,c++,0.2,1.77,61
qt,arrays,0.2,0.5,1
qt,c,0.2,0.65,4
qt,string,0.2,0.39,1
qt,linux,0.2,0.58,5
qt,struct,0.2,0.02,1
qt,sockets,0.2,0.06,1
qt,function,0.2,0.04,1
qt,class,0.2,0.07,1
qt,vector,0.2,0.03,1
qt,templates,0.2,0.08,1
qt,file,0.2,0.16,1
qt,char,0.2,0.01,1
qt,stl,0.2,0.04,1
qt,windows,0.2,0.33,2
qt,java,0.2,4.62,4
qt,android,0.2,3.02,4
qt,php,0.2,3.05,5
qt,javascript,0.2,5.15,1
qt,list,0.2,0.14,1
qt,algorithm,0.2,0.16,1
qt,graphics,0.2,0.02,1
qt,3d,0.2,0.02,1
qt,textures,0.2,0.0,1
qt,go,0.2,0.21,1
qt,jenkins,0.2,0.11,2
qt,xcode,0.2,0.42,2
qt,window,0.2,0.02,1
qt,reflection,0.2,0.07,1
qt,drupal,0.2,0.02,3
qt,dialog,0.2,0.02,1
qt,focus,0.2,0.01,2
qt,document,0.2,0.0,2
java-native-interface,c++,0.02,1.77,1
java-native-interface,java,0.02,4.62,5
java-native-interface,android,0.02,3.02,4
java-native-interface,jar,0.02,0.01,1
cmake,python,0.1,4.26,4
cmake,c++,0.1,1.77,19
cmake,c,0.1,0.65,5
cmake,linux,0.1,0.58,1
cmake,windows,0.1,0.33,4
cmake,java,0.1,4.62,2
cmake,android,0.1,3.02,1
cmake,git,0.1,0.68,3
cmake,jenkins,0.1,0.11,1
cmake,lua,0.1,0.04,1
cmake,build,0.1,0.03,4
cmake,rtsp,0.1,0.01,1
cmake,physics,0.1,0.0,1
delphi,c++,0.12,1.77,2
delphi,arrays,0.12,0.5,1
delphi,file,0.12,0.16,1
delphi,windows,0.12,0.33,3
delphi,php,0.12,3.05,1
delphi,c#,0.12,3.64,7
delphi,javascript,0.12,5.15,1
delphi,.net,0.12,0.86,2
delphi,sql,0.12,0.59,1
delphi,r,0.12,0.56,2
delphi,mysql,0.12,0.79,4
delphi,oop,0.12,0.09,1
delphi,linq,0.12,0.1,1
delphi,interface,0.12,0.02,1
delphi,properties,0.12,0.02,3
reactjs,python,0.94,4.26,8
reactjs,performance,0.94,0.16,3
reactjs,c++,0.94,1.77,1
reactjs,arrays,0.94,0.5,5
reactjs,c,0.94,0.65,2
reactjs,windows,0.94,0.33,2
reactjs,java,0.94,4.62,3
reactjs,android,0.94,3.02,1
reactjs,php,0.94,3.05,13
reactjs,c#,0.94,3.64,3
reactjs,javascript,0.94,5.15,246
reactjs,.net,0.94,0.86,5
reactjs,typescript,0.94,0.59,53
reactjs,list,0.94,0.14,1
reactjs,dictionary,0.94,0.12,1
reactjs,ruby,0.94,0.42,1
reactjs,postgresql,0.94,0.32,4
reactjs,mysql,0.94,0.79,3
reactjs,css,0.94,1.46,15
reactjs,ajax,0.94,0.1,2
reactjs,scala,0.94,0.27,1
reactjs,git,0.94,0.68,2
reactjs,sass,0.94,0.04,2
reactjs,swift,0.94,0.83,3
reactjs,angular,0.94,0.73,4
reactjs,haskell,0.94,0.14,3
reactjs,go,0.94,0.21,2
reactjs,spring,0.94,0.64,2
reactjs,ios,0.94,1.69,7
reactjs,objective-c,0.94,0.56,1
reactjs,xcode,0.94,0.42,4
reactjs,maven,0.94,0.22,2
reactjs,forms,0.94,0.08,3
reactjs,terminal,0.94,0.05,2
